doc,date,description
008,Nov 24th 1626,Lawe the Mason complained of in the letters from factory for his insufficiency in workmanship.
008,Nov 24th 1626,Captain Cope’s debauched carriage~ his evil service~ and expense of £40 questioned.
008,Nov 27th 1626,Captain Swann questioned for extraordinary expense of wine in the Charles.
008,Dec 1st 1626,William Matthews~ purser of the State outward bound~ complained of for not attending his charge~ and for extraordinary drinking.
008,Dec 1st 1626,Anthony Bonne~ deceased~ a private trader.
008,Dec 18th 1626,Captain Weddell’s great private trade questioned~ he renvoyed his goods on shore at Portsmouth.
008,Dec 29th 1626,Henry Wheatley questioned for his own and others’ private trade in the Great James.
009,Jan 12th 1626,Die Swanley~ master~ Henry Wheatley~ purser~ John Willoughbie~ factor~ William Burch~ carpenter~ and Mr. John Sadler~ druggist~ private trade.
009,Jan 12th 1626,Robert Hackwell~ late master of the Charles~ complained of for putting two blacks to death at Jambay~ and forever discharged from the Company's service.
009,Jan 12th 1626,Sallus~ late boatswain of the Star~ his ill behavior complained of by Daniel White~ purser of the Mary.
009,Jan 24th 1626,Robert Smyth~ late purser of the Jonas~ a rich private trader for 8 or 9 maunds of pepper.
009,Jan 29th 1626,John Banks~ by a false ticket from one Rogers~ purser of the Drummond~ received two several fifty pounds of Benoxe Smyth~ sergeant~ and John Comers~ corporal.
009,Feb 5th 1626,Henry Wheatley blamed for his own private trade and connivance at others for 60 tons of private goods in the Great James~ which was renvoyed onshore and sold at Portsmouth~ viz indica~ calico~ etc.
009,Feb 7th 1626,Benjamin Stone for keeping 17 cwt. of long and white pepper fined 40.
009,Feb 9th 1626,Hugh Johnson~ deceased at Moha~ his account questioned for improper wanting and for gold.
009,Feb 9th 1626,Robert Yonge answers to the objections against him~ and the business referred to further examination.
009,Feb 9th 1626,Willoughbie’s debt of 4853 mohurs defalked for the account of the Company~ the remainder due upon his acts ordered to be paid.
009,Feb 9th 1626,Mr. Cockran’s private trade and other misdemeanors handled~ and his executor ended with paying to the Company a fine of 600 for his said trade and other errors committed.
010,Feb 14th 1626, Henry Parker (who was put to death for mutiny)~ his father questions the proceedings of Captain Swann and desires copies of the process against his son~ but is denied.
010,Feb 21st 1626, Robert Johnson~ deceased in the Ann~ his brother and executor questioned for wasteful expense in housekeeping~ spending in 3 months 4543 pieces of eight~ and also for making desperate debts~ but concluded with a fine of 200 pounds.
010,Feb 26th 1626, Woolhouse~ minister~ a private trader for 20 bags of pepper~ 6 chests of indigo~ and 5 bales of calico~ for which he paid freight 73 without abatement.
010,Mar 21st 1626, Captain Swann's excess of drinking wine in the cabin blamed and he fined at 40.
010,Apr 4th 1627, William Byrch for his private trade fined at 20 for freight~ etc.
010,Apr 4th 1627, Captain Fowke for his private trade ordered to pay 57 freight.
010,Apr 13th 1627, Mr. Cosfirth and Mr. Ouseman of Sandwich discovered to be men that from time to time buy great quantities of goods from private traders.
010,Apr 18th 1627, Nathaniel West~ factor at Surat~ sends home private trade~ 2 bales of gumlac and 14 pieces of calicoes~ for which the Court resolved to allow him 5s. x li. upon the prime cost~ and to reserve it in their hands till his return.
010,Apr 20th 1627, Captain Jordan's estate in the Company's hands ordered to be stayed for satisfaction of his nephew John Jordan's debt~ he being surety for him~ and also ordered that no more of the said estate shall be paid to Thomas Viney.
010,Apr 23rd 1627, Benjamin Moore~ deceased~ stands indebted to the Company 1153 pieces~ his brother and surety Samuel Moore required to make satisfaction.
010,May 18th 1627, Richard Fursley~ master cooper of the Great James~ fined at 18 15 0 for private trade.
011,May 2nd 1627, Robert Yonge~ late factor at Surat~ having cleared some objections~ and others resting upon him~ was at this Court for forfeiture of his bond in private trade~ for freight of goods~ for expenses~ and excessive rates set upon his own goods~ which he sold to the Company and afterward gave away in presents for their occasions~ and fined at 50 by erection of hands~ whereof 100 marks was remitted May 30~ 1627.
011,Jun 8th 1627, Henry Westley's account charged with such monies as he had suffered to be taken up in the Great James above a third of wages~ contrary to the Company's order and commission in that behalf.
011,Jun 20th 1627, The error of Mr. Wheatley insisted upon and the former order confirmed.
011,Jun 20th 1627, Captain Richard Cope~ deceased by his own accounts~ stands indebted to the Company 900.
011,Jun 27th 1627, Catherine West's private trade again remembered and blamed in Court.
011,Jul 18th 1627, 47th of Mr. Wheatley's pages ordered to be paid out to the masters of such servants as he had suffered to take up more than a third part of their wages in the Great James~ and 37 of his wages ordered to be detained in the Company's hands for satisfaction of others whose accounts are not yet returned.
011,Jul 27th 1627, Edward Lee dismissed out of the Company's service for his weakness and unfitness to discharge the duties of his place in calling for the Company's debts.
011,Aug 1st 1627, William Febber complained of for negligence in his place for recovery of the debts due from runaways.
011,Aug 3rd 1627, Great abuses regretted~ that he carried himself mutinously~ riotously~ debauchedly~ and unfaithfully~ gave away the Company's estate~ employed 600 lb of the Company's money for his own use~ reserved the best diamonds to himself~ dissuaded mariners from obedience to their commanders~ and falsified accounts~ by which he was indebted to the Company 252 pieces of eight~ for which by consultation his estate was sequestered~ and he was sent home prisoner.
012,Aug 17th 1627, John Becke~ one storekeeper at Blackwall~ complained of for absence and negligence in his charge.
012,Sep 19th 1627, Gabriel Pawley complained of for buying a China junk and fitting her with the Company's stores and provisions~ and sending her in a company of trade to Siam for his own account.
012,Sep 19th 1627, Also~ President Hawley blamed for his indulgence and connivance towards his kinsman.
012,Oct 3rd 1627, Henry Woman~ and Captain Marston's letter sent home by the London and Reformation contained sundry complaints against George Willong and Sir Eustace Mann~ Gabriel Bawley~ Richard Steele~ John Coward~ and Henry Sill concerning their great private trade and other abuses to the Company as by the said letters.
012,Oct 10th 1627, President Hawley for ill managing the Company’s affairs ordered to be sent for home~ also complained of for half loading the Bull with his own commodities in course of private trade~ also for sending the Abigail to the coast~ for his indulgence to his kinsman~ and to Thomas Mill~ factor at Masulipatnam~ and for admitting Mr. Steele to be one of the Council contrary to the commission and order of the Company.
012,Oct 10th 1627, Thomas Mills~ Richard Steele~ and Gabriel Hawley ordered to be sent for home to answer their private trade and other abuses to the Company.
012,Oct 12th 1627, Mr. Lewis Williams~ who went out in the Exchange for a minister~ sent home by the president and council because he was not qualified for discharge of his function.
012,Oct 24th 1627, Nathaniel West’s private trade again remembered and the weight of his gumlac set down to 1-3-20~ and as formerly ordered to be detained in the Company’s hands till his return.
012,Oct 24th 1627, Richard Allen~ late second factor at Aceh~ accuses Godfrey Willoughbie for letting out the Company’s money at interest to China men for his own account.
013,Oct 31st 1627, Jonas Colebache's abuses and misdemeanors in his employment at Jambay questioned~ viz.~ the taking of the junk~ his drinking~ his making desperate debts~ and other miscarriages certified by the President and Council~ and a time appointed to hear them.
013,Nov 2nd 1627, John Ellesmore~ late master's mate of the London~ blamed for taking the junk and also for coming away and leaving the ship at Portsmouth.
013,Nov 9th 1627, Andrew Mitchelson~ deceased~ a great private trader~ was questioned with his executrix and concluded with her November 30~ 1627.
013,Nov 14th 1627, The objections against George Willoughbie for letting out the Company’s money at interest for his own account~ for being behind in account 560 pounds~ handled before Mr. Ludlowe~ his kinsman.
013,Nov 19th 1627, Information given against Gabriel Pawley that he sells the Company’s stores and ammunition to the Dutch~ places~ and displaces pursers at his pleasure~ whereby the Company is defrauded because the often change of pursers makes them ignorant how to charge them to account.
013,Nov 19th 1627, President Bawley's extraordinary charge in building at Faccatra remembered~ being contrary to the Company’s order.
013,Nov 28th 1627, John Headley~ chirurgeon of the London~ a private trader for 147 weight of cassia lignea.
013,Nov 28th 1627, Richard Muncke~ master of the Done~ dismissed the Company’s service because he refused to submit to the order of the Court concerning the great cabin~ but upon his conformity readmitted December 14~ 1627.
013,Nov 28th 1627, Langford~ late master of the Reformation~ informed the Court that Eustace Mann lent to Gabriel Bawley 1000 to employ in private trade~ for which President Pawley became surety.
013,Nov 30th 1627, Andrew Mitchelson~ a private trader~ he made use of the Company’s drugs and medicines out of a chirurgeon’s chest in his custody~ notwithstanding the Court gave to his executrix in full of all demands 510.
Doc Number,Date,Event Description
014,Dec 10th 1627,John Coper~ carpenter of the Reformation~ complained against for refusing to fight with the Dutch if they should offer to take the London and Reformation in their passage from Portsmouth to the Thomas.
014,Dec 14th 1627,Captain Pynn informs the Court that the Abigail~ a weak rotten ship~ was trimmed and employed to the coast only for accommodation of Eustace Mann~ the great trader~ when in the meantime better ships rotted at anchor in the road for want of employment.
014,Dec 27th 1627,That young Bawley so overruled his uncle~ the President~ that he cannot refuse what he pleases of him~ though to the prejudice of the Company.
014,Dec 27th 1627,Also~ that the Abigail was sent contrary to the advice of himself and Brunte Greade~ carpenter of the London~ who made known the unsuitableness of the said ship~ the power of young prevailing for the trimming and employing of the said ship.
014,Dec 27th 1627,Brunte Greade~ for giving his advice honestly upon this occasion~ was soundly beaten by the purser and steward of the said ship.
014,Dec 27th 1627,Eustace Mann worked young Bawley~ and he~ his uncle~ to set out the said ship for continuation of the said Mann’s private trade~ which is and has been very great.
014,Dec 27th 1627,He further reports that young Hawley bought a China junk and repaired her with the Company’s materials and performed the work with the Company carpenters and freighted her mostly for his own account~ enabled thereto by Mr. Mann~ who supplied him with money.
014,Dec 27th 1627,Further reports signified that John Brookes~ smith of the London~ is a drunken debauched fellow.
014,Jan 2nd 1627,Brunte Greade complains against President Bawley for sending the Abigail (a weak unsuitable ship) to the coast only for accommodation of one Eustace Mann.
015,Jan 2nd 1627,Brunte Greade also complained against the purser~ and Bill steward of the said ship~ who beat him for delivering his opinion concerning the weakness of the said ship~ complains against young Bawley for his great power and pride~ ruling and commanding all at his pleasure.
015,Jan 2nd 1627,Also~ for repairing the junk with the Company’s materials~ viz.~ the best and chief planks~ nails~ spikes~ tar~ pitch~ for workmanship 3 weeks at the Company’s charge~ for fitting her with the Company’s ordnance~ with a hawser~ 60 fathoms~ with powder~ shot~ and what else was needful.
015,Jan 11th 1627,Jonas Colebach's accusations examined~ viz.~ about 5000 reals by him given to the king of Jambay for riotousness and just disposition of fraud~ for making bad debts~ for 325 pieces taken out of the Pahang junk~ and for other miscarriages~ to which he answers severally~ but gives no satisfaction to the Court.
015,Jan 11th 1627,Thomas Thoeneburye~ late purser of the London~ deceased~ complained of by the President and Council for his private trade.
015,Jan 11th 1627,Also~ information given to the Court that Captain Arnold Browne carried an adventure of 500 pieces for a gentleman~ which was returned in cloves upon the London~ questioned again February 6~ 1627.
015,Jan 14th 1627,Several casks of various sorts of goods landed out of the Expedition at Southampton~ and 12 tons of ebony wood~ challenged by Mr. Isson~ of whose private trade the purser John Banuell gives information at large.
015,Jan 15th 1627,Thomas Mills and the factors at the coast complained of for appending the stock of the Company in charges and employing it for their own account.
016,Jan 15th 1627,The factors at Jacatra and Surat~ to friends~ remiss in the execution of their commissions~ the one for not sending away a ship in the year November or December from Surat~ the other for not going to Bantam~ nor sending home the Exchange~ as several commissions did direct.
016,Jan 23rd 1627,Samuel~ purser of the Expedition~ presents in Court a paper containing sundry complaints against Randle Iessen~ master of the said ship~ both for his private trade and misgovernment in his ship~ and particularly for bringing from Faccatra 7 Dutchmen~ whereof 3 were burghers.
016,Jan 25th 1627,Complaints severally handled in Court and answered by Mr. Iessen~ wherein he gave no satisfaction to the Court.
016,Feb 1st 1627,Mr. Fesson exhibits complaints against Mr. Samuel~ purser.
016,Feb 1st 1627,Captain Pynn questioned for extraordinary expense of powder in the London~ and answers it was before he came into the ship.
016,Feb 4th 1627,John Johnson~ late master of the ship~ questioned for carrying ship Bradbent to the Indies without leave~ also for sowrness in sight with the Portuguese~ for taking a bale of silk out of the horse prize~ and for setting a black for 20 reals~ which was taken in the said prize.
016,Feb 4th 1627,Capt Langford in Court confesses the bringing home of 9 weights of cloves~ and sale of them at Plymouth~ and that Henry Short~ deceased at Makassar~ did trade in partnership with him.
016,Feb 4th 1627,Philip Bearden confesses he brought home 2 cwt 15 lb of pepper and 2 cwt 21 lb of cloves for his own account~ and sold it at Plymouth~ his private trade again handled February 11~ 1623.
017,Feb 6th 1627,Mr. Verle sounds nouvernement~ cloves weight 2 lb~ a chest of silk stuffs~ 1 half hogshead of sugar candy~ 56 weight of cloves besides gold and a very great reform in the person's book.
017,Feb 6th 1627,John Arnold~ gunner of the Expedition~ a private trader for 400 weight of pepper.
017,Feb 13th 1627,25 diamonds private trade belonging to Captain Richard Cope deceased.
017,Feb 15th 1627,Captain Browne's wasteful expense of powder in the London questioned.
017,Feb 15th 1627,George Willoughbie~ late factor at Aceh~ brought home in the Expedition for his own private account 2 hogsheads and 80 weights of cloves~ 2 hogsheads of nutmegs~ 1 barrel of sugar candy~ 1 chest of stuffs~ he was also charged for letting out the Company's money at interest to the damage of the Company as 1300 pieces of eight.
017,Feb 22nd 1627,Mr. Richard Swallor~ master of the Jonas~ contrary to the Company's order challenged the great cabin~ and in Court refused to go the voyage unless he might have it~ but upon his submission to the Court's order he was readmitted February 25~ 1627.
017,Mar 28th 1628,The objections against George Willoughbie resumed and particularly handled.
017,Mar 28th 1628,Mr. Willoughbie accuses Henry Wolman for his evil carriage at Aceh~ in so much that having advised the noblemen there he was condemned to die.
017,Mar 28th 1628,We also accused Coward to be a continual drunkard~ a factor for private traders~ and one who refused to give up his accounts monthly as he was required.
017,Mar 28th 1628,Accuses those that are next the President~ Mr. Lee~ to be private traders~ viz.~ Mr. Bixe and Mr. Muschampe~ between whom and the factors at Surat~ at the coming of Gregory Clement upon the Ann from there to Jacatra.
018,Mar 28th 1628,Mr. Cobinson~ the scrutineer~ in articles for intercourse of private trade between those factories.
018,Mar 28th 1628,He also declares the reasons of his suspicion~ that Mr. Iesson would have carried the ship to Dunkirk.
018,Mar 28th 1628,Henry Holl indebted to the Company upon the foot of account~ 250.
018,Mar 28th 1628,John Ellesmore~ a private trader for 500 weight of pepper.
018,Apr 7th 1628,The objections against Mr. Bixe~ Mr. Muschamp~ and Gregory Clement for making articles for private trade between Jacatra and Surat remembered~ and confirmed by Henry Wolman~ to whom Robinson showed them when he had drawn them.
018,Apr 7th 1628,George Willoughbie concluded with~ he paying 27 for freight for his private trade.
018,Apr 18th 1628,41 imposed for the freight of Thomas Barries' private trade~ but one half remitted to his widow.
018,Apr 28th 1628,Mr. Thomas Turner~ purser of the Jonas~ ordered to be sent for home for scandalizing the proceedings of the Company and advising Mr. Iesson to sell away his goods~ by a letter~ to the Isle of Wight.
018, NA, Coppie of tho: Turners Letter to Mr. Iresson: Friend Tenor whereof follows: "Noble Mr. Iresson~ I remember me unto you and am very glad of the safe arrival. These are to let you understand that the bearer hereof Mr. Ritchen~ a man of very good means~ is come down from London on purpose to buy some or all your commodities which if you please you may sell him without danger~ for he hath money good store about him to discharge a great quantity."
019,Dec 27th 1627,I would advise you to put off your goods with haste~ for I did speak with the purser of your ship Mr. Samuell~ who informed me~ you have 15 tons of goods aboard~ and he will give notice to the Company of it~ for he told me as much~ therefore I advise you friendly to put off your goods as soon as you can for any man the Company gets in that kind any advantage upon~ they pay what they please for freight~ besides a great deal of ill will. Thus with my love I rest~ your loving friend~ Portsmouth~ the 27th December 1627~ Thomas Turnor.
019,May 21st 1628,Captain Arnold Browne's private trade questioned and 800 offered to his widow in full of all demands.
019,Jul 2nd 1628,John Head~ master's mate of the Expedition~ brought home private trade 200 weight long pepper~ 1000 weight Bantam pepper~ 100 weight cloves~ which he sold to Mr. Iesson for 100 op 5.
019,Aug 20th 1628,900 pounds given to Captain Browne's widow in full of all demands~ and so all differences between the Company and her ended.
019,Sep 15th 1628,Part of a letter dated about the discovery at Dingley Cushin the westernmost part of Ireland~ from Robert Flod to his brother Mr. Marchaunt at the next house in Wadsdoune near London by the naked boy~ wherein he complains of the master and purser of the said ship in his words.
020,Sep 25th 1628,Our purser and the master have played the knaves~ in selling the ship's provisions and in taking passengers on for money which eat upon the ship's victuals and not taking in 4000 pounds worth of bread into one ship~ which should have come in~ which want of victuals was the cause that we bore up for Ireland~ for the men would not bear it out at sea~ because all our provisions were spent two weeks or ten days at the most. But we were likely to miss Ireland~ which if we had~ we would have all perished in the sea~ for if we had gone but 5 or 6 leagues further we had never fetched it with this wind~ but the master of the ship was the cause for he would steer away room against all reason~ making so sure~ that when he had thought he had been to the Eastward of Kinsale~ we were to the westward of all Ireland~ which was as much as ever we could do to fetch this harbor that we are in~ for the wind blew hard at East~ and at L: and by Sirs~ and the land trenched away N: E: I tell you of it~ because I would have you to tell Mr. Tourvill~ that he may take notice what masters and pursers the Company does employ. I could speak a great deal more~ but haste would not permit. From Dingley Couch~ the loving brother in what I may~ September 15 1628 Robte Fludde. The letter redelivered to Mr. Ellam.
021,Feb 6th 1626,A letter from Robte Blose bearing date the 6th of February 1626 contains many grievous complaints against President Bawley~ Gabriel Pawley~ and Eustace Mann & amongst other things he observes that all the private trade of the Indies compares with Gabriel Hawley's and Eustace Mann's~ his private trade are like drops of rain to the ocean.
021,Feb 6th 1626,Also a letter from Thomas Robinson on the 6th February 1626~ among many complaints against the President~ his nephew~ Mr. Steele~ Syll~ Crofts~ & others observes that Eustace Mann brought in the Ann from Surat 200 packs and parcels of goods private trade out of which he trusted Gabriel Bawley to the value of 4000 pieces of 8.
021,NA,In the same letter~ that Mr. Brewen~ young Pawley~ and Eustace Mann were partners in 16 tons of goods carried to the Coast for their private account~ besides cloves and other quantities of the Company's goods for private trade.
021,NA,For better satisfaction touching these and other complaints mentioned in the letters~ see the letters at large~ containing nothing but complaints from the beginning to the end of said letters.
021,Dec 10th 1628,Tuson~ late master of the Discovery~ deceased~ left in the ship at his death so much private trade that the freight being cast up did amount to 300.
021,Dec 10th 1628,Hills~ druggist~ and Thomas Bullein~ chandler~ questioned for going into the Downs & buying up private trade.
021,Dec 12th 1628,John Vine~ who came home master of the Discovery~ a private trader for 3 bags of turmeric & 3 bags of long pepper.
022,NA,Thomas Turnor~ purser of the Jonas~ to be questioned at his return for 1000 weights of cinnamon delivered into the Jonas out of the Cinnamon Prize.
022,NA,Henry Lyde~ bailer~ did service in the Portugal ships in the fight against Captain Blyche.
022,Apr 28th 1630,Upon Mr. Ellam's report~ that in 828 bales of hard indigo which came home from Surat in the Hart~ Hopewell~ and Expedition there is wanting 21426 pounds weight of indigo~ of that charged by the factors in the invoice~ rating the great maund at 54-10/6 and if the said maunds be rated but at 52 weight~ yet there will be a want of 1446 of indigo~ which extraordinary want of which was ordered to be entered in the black book to be questioned with the factors for the reform especially with Gregory Clement who bought it all~ but 40 parcels~ as is reported.
022,May 7th 1630,William John Cartwright to be questioned at his return from Russia for the freight of the goods~ landed in the Downs before the casting away of the Morris~ and of the goods recovered in the Low Countries after she was lost.
022,Aug 26th 1629,Bruite~ Preade had the Abigail upon the careen 9 months together upon the careen and 40 men at work yet made her not sufficient.
022,Aug 26th 1629,Anthony Vernworth~ to be sent for home and to be questioned concerning Henry Short's estate~ who was drowned at Makassar~ and concerning his own private trade.
023,NA,framuis Thoyde complained of by Mr. Illesmorys~ late master of the Charles~ for many abuses the particulars whereof are handled at sundry Courts of Committees~ held on the 21st July~ the 5th August~ 7th September for landing his private trade in the Downs.
023,NA,One butt of cloves private trade and one butt of mace brought home by Captain Wall for the account of Mr. Bibbow ordered to be detained in the hands of the Company & Mr. Skibbowe to be questioned for the same at his return.
023,NA,Mr. Wylde confesses he bought of Capt. Slade cloves to the value of £30: for which the Capt. is to be questioned at his return.
023,Jul 13th 1632,By direction of the Court of Committees~ no part of the wages or estate of Penrye Sill or John Skibbowe~ who were and the Council of Bantam is to be paid to any whosoever but to be stayed in the Company's hands till further order and a note of the order given to Mr. Sambrooke.
023,NA,Advice of private trade in the Great James etc.
023,Dec 20th 1631,John Pyke~ ward of the Great James~ the date at Bantam~ 20th December 1631~ to the Company~ advises viz: That Capt. Moreton had for private trade 10 barrels of quicksilver~ 5 parcels vermilion~ powder in all 1600 weight~ besides diverse packs of broadcloth and other things.
024,1631,That Captain Moreton carried from Surat to Coombroone 50 bales of indigo~ sugar~ and cloth.
024,1631,That Thomas Evans~ midshipman~ was a factor~ and was after made master's mate in the Star for the said service.
024,1631,That there was considered to be 600 tons of private trade carried from Gombrane to Surat in that fleet.
024,1631,That from Surat to Bantam in the James and Blessing were carried twice as many bales of private trade as there were men in the said ships~ besides parts and little parcels.
024,1631,That from Bantam to Surat there went in the James 12 or 14 tons of one man's goods~ his name unknown~ and a parcel of Captain Moreton's cloves amounting to 1600 pieces of 8.
024,1631,That all the provision of beer in the Great James was expended in 16 months.
024,1631,That of 48 pipes of sack laid in for the James’s store at Captain Moreton's death~ 40 were consumed and only 8 left to serve 20 months.
024,1631,That the Company is ill-served at Bantam where the English amongst themselves gain usually for 4~ 5~ or 8 reals a night.
024,1631,Richard Barry~ purser of the Great James~ in a letter dated at Bantam the 7th of October 1631~ advises as follows:
024,1631,That at the arrival of the James & Blessing upon the coast of Sumatra bound from Surat to Bantam he was sent in the barge beforehand to procure provisions for the 2 ships whereof they then stood in want.
024,1631,That provisions were forthwith despatched from Bantam to the ships.
025,NA,That the English stayed at Bantam until the James arrived there.
025,NA,That in the time of his absence the Blessing was by consultation despatched back for Surat.
025,NA,That 70 bales of private trade were taken out of the Blessing into the James to be brought for Bantam~ the owners not known~ and 16 parcels belonging to John Lawrence~ late chirurgeon of the Blessing.
025,NA,That coming to Bantam he discovered the said Blessing’s private trade~ whereupon it should have been sent to the factory on shore but Captain Moreton's orders were stayed on shipboard to be carried back to Surat~ who promised hereafter to specify the owners' names together with the quantities and qualities of the said goods.
025,NA,That everyone in the Great James was a private trader.
025,NA,That Captain Moreton had 12 small bales.
025,NA,That the master~ his mate~ officers~ and others in the ship had sundry sorts of cloth stowed in their chests & cabin~ sold aboard the ship at Bantam to Chinese men and Javanese~ the quantities unknown to him.
025,NA,Gabriel Rennicott~ purser's mate~ had 9 parcels~ and as soon as he came to Bantam got leave of Mr. Skibbowe to go on shore and live in the factory for the more commodious sale of his goods~ leaving the said Barry destitute of aid in the unloading of the goods from Surat and taking in the cargo of pepper.
026,NA,That the Captain~ when he had any goods to ship or unship~ would send the purser ashore~ or board other ships~ the more securely to take in his own goods without the purser’s knowledge.
026,NA,That the Captain by authority from the Company is so absolute (as he supposes) that he commands and orders all at his pleasure~ placing & displacing pursers~ and their mates~ who must be at the command of the Captain~ though contrary to the Company’s benefit~ or be turned out of their places.
026,Jan 2nd, 1631~Richard Barry advises by letter: That at the return of the James to Bantam~ were found 77 bales & parcels of private trade~ 1 hogshead~ & 10 jars~ and a fax~ their numbers & marks as in the list sent with the said letter~ but the proprietor not known. That Captain Moreton’s private trade was~ after his death~ discovered to be as follows: Corn in the Palgrave 90 pounds~ 32 parcels of cloves weigh 21-1-20~ 15 bags of cubebs gross weigh 12-8~ 2 bags of turtle shells weighing 02-1-26~ 24 parcels of gold~ and silk weigh 00-1-00~ and 11 silver ladles~ 1 strainer~ 2 beer glasses~ 2 wine cups~ 1 basin~ 1 double salt~ 1 strong water cup~ 1 saucer~ 1 fork~ weighing all total 1 and an adventure sent to the coast and ship him to buy linen and some cloth in Surat per inventory.
027,Oct 28th 1631, Thomas Gemolde papers dated at Bantam 9 November 18.
